customer_id,customer_name,customer_type
C001,Customer 1,Contractor
C002,Customer 2,Wholesale
C003,Customer 3,Contractor
C004,Customer 4,Wholesale
C005,Customer 5,Contractor
C006,Customer 6,Contractor
C007,Customer 7,Contractor
C008,Customer 8,Contractor
C009,Customer 9,Retail
C010,Customer 10,Wholesale
C011,Customer 11,Retail
C012,Customer 12,Contractor
C013,Customer 13,Retail
C014,Customer 14,Retail
C015,Customer 15,Retail
C016,Customer 16,Wholesale
C017,Customer 17,Wholesale
C018,Customer 18,Retail
C019,Customer 19,Wholesale
C020,Customer 20,Contractor
C021,Customer 21,Retail
C022,Customer 22,Contractor
C023,Customer 23,Retail
C024,Customer 24,Retail
C025,Customer 25,Contractor
C026,Customer 26,Retail
C027,Customer 27,Wholesale
C028,Customer 28,Wholesale
C029,Customer 29,Retail
C030,Customer 30,Wholesale
