expense_id,date,category,amount
E001,02/05/2025,Fuel,50000
E002,05/05/2025,Salary,52000
E021,05/05/2025,Fuel,90000
E003,08/05/2025,Rent,54000
E022,08/05/2025,Salary,92000
E004,11/05/2025,Transport,56000
E023,11/05/2025,Rent,94000
E005,14/05/2025,Fuel,58000
E024,14/05/2025,Transport,96000
E006,17/05/2025,Salary,60000
E007,20/05/2025,Rent,62000
E008,23/05/2025,Transport,64000
E009,26/05/2025,Fuel,66000
E010,29/05/2025,Salary,68000
E011,01/06/2025,Rent,70000
E012,04/06/2025,Transport,72000
E013,07/06/2025,Fuel,74000
E014,10/06/2025,Salary,76000
E015,13/06/2025,Rent,78000
E016,16/06/2025,Transport,80000
E017,19/06/2025,Fuel,82000
E018,22/06/2025,Salary,84000
E019,25/06/2025,Rent,86000
E020,28/06/2025,Transport,88000
