material_id,size,manufacturer,unit,standard_cost
M001,8mm,African,Piece,8400
M002,10mm,African,Piece,10400
M003,12mm,African,Piece,12400
M004,16mm,African,Piece,16400
M005,20mm,African,Piece,20400
M006,25mm,African,Piece,25400
M007,8mm,Quantum,Piece,8736
M008,10mm,Quantum,Piece,10816
M009,12mm,Quantum,Piece,12896
M010,16mm,Quantum,Piece,17056
M011,20mm,Quantum,Piece,21216
M012,25mm,Quantum,Piece,26416
M013,8mm,Sunflag,Piece,9240
M014,10mm,Sunflag,Piece,11440
M015,12mm,Sunflag,Piece,13640
M016,16mm,Sunflag,Piece,18040
M017,20mm,Sunflag,Piece,22440
M018,25mm,Sunflag,Piece,27940
M019,8mm,KAM,Piece,8988
M020,10mm,KAM,Piece,11128
M021,12mm,KAM,Piece,13268
M022,16mm,KAM,Piece,17548
M023,20mm,KAM,Piece,21828
M024,25mm,KAM,Piece,27178
