purchase_id,date,supplier_id,material_id,qty_received,purchase_price
P0001,01/05/2025,S003,M006,34,27627
P0032,02/05/2025,S002,M011,49,22099
P0062,02/05/2025,S002,M016,27,18941
P0002,03/05/2025,S003,M005,55,22274
P0033,04/05/2025,S005,M005,53,22527
P0063,04/05/2025,S004,M005,45,21312
P0003,05/05/2025,S003,M007,42,9344
P0034,06/05/2025,S002,M006,43,26834
P0064,06/05/2025,S002,M016,51,18832
P0004,07/05/2025,S004,M010,47,17747
P0035,08/05/2025,S001,M002,25,11017
P0065,08/05/2025,S002,M014,19,11962
P0005,09/05/2025,S001,M022,55,17952
P0036,10/05/2025,S003,M015,31,14684
P0066,10/05/2025,S003,M022,53,19130
P0006,11/05/2025,S005,M023,53,23388
P0037,12/05/2025,S004,M015,45,14390
P0067,12/05/2025,S004,M007,44,9162
P0007,13/05/2025,S004,M001,41,8973
P0038,14/05/2025,S003,M016,22,19736
P0068,14/05/2025,S001,M012,34,27286
P0008,15/05/2025,S001,M005,40,21478
P0039,16/05/2025,S001,M013,18,9536
P0009,17/05/2025,S005,M010,54,18833
P0070,18/05/2025,S001,M002,48,10891
P0040,18/05/2025,S003,M018,23,29965
P0010,19/05/2025,S004,M020,48,11621
P0041,20/05/2025,S003,M011,53,22584
P0071,20/05/2025,S005,M004,19,17871
P0011,21/05/2025,S003,M010,22,18495
P0042,22/05/2025,S002,M009,25,13517
P0072,22/05/2025,S005,M011,21,23499
P0012,23/05/2025,S003,M023,18,23507
P0043,24/05/2025,S002,M012,43,28488
P0073,24/05/2025,S002,M005,28,21790
P0013,25/05/2025,S001,M016,29,18872
P0074,26/05/2025,S002,M021,45,14324
P0044,26/05/2025,S004,M022,38,18194
P0014,27/05/2025,S002,M009,22,13922
P0075,28/05/2025,S003,M005,52,21700
P0045,28/05/2025,S001,M018,39,28649
P0015,29/05/2025,S002,M001,38,8965
P0046,30/05/2025,S002,M016,38,19010
P0076,30/05/2025,S003,M019,29,9789
P0016,31/05/2025,S003,M013,44,9926
P0047,01/06/2025,S004,M011,21,22563
P0077,01/06/2025,S005,M020,50,12262
P0017,02/06/2025,S001,M002,50,10729
P0048,03/06/2025,S003,M001,45,9230
P0078,03/06/2025,S003,M013,47,10127
P0018,04/06/2025,S005,M004,30,18121
P0049,05/06/2025,S003,M011,45,23096
P0079,05/06/2025,S004,M020,43,11710
P0019,06/06/2025,S005,M017,47,24286
P0050,07/06/2025,S005,M010,27,18406
P0080,07/06/2025,S002,M021,27,13982
P0020,08/06/2025,S002,M015,39,14326
P0051,09/06/2025,S004,M012,51,28244
P0021,10/06/2025,S002,M010,49,18431
P0022,12/06/2025,S005,M007,40,9356
P0053,13/06/2025,S001,M023,28,22965
P0023,14/06/2025,S002,M005,23,21714
P0054,15/06/2025,S001,M017,52,22940
P0024,16/06/2025,S005,M003,22,13464
P0055,17/06/2025,S005,M007,30,9548
P0025,18/06/2025,S005,M010,29,18682
P0056,19/06/2025,S005,M023,29,23997
P0026,20/06/2025,S001,M024,41,28373
P0057,21/06/2025,S002,M006,29,26630
P0027,22/06/2025,S005,M006,41,27143
P0058,23/06/2025,S002,M022,37,18327
P0028,24/06/2025,S003,M018,25,30542
P0059,25/06/2025,S003,M021,35,14295
P0029,26/06/2025,S003,M024,51,29072
P0060,27/06/2025,S004,M006,24,26344
P0030,28/06/2025,S003,M015,39,14846
P0061,29/06/2025,S001,M008,18,11099
P0031,30/06/2025,S004,M002,53,11039
