invoice,date,customer_id,material_id,qty_sold,selling_price,payment_method,sale_type
INV00001,01/05/2025,C001,M014,4,14101,Transfer,Wholesale
INV00002,01/05/2025,C002,M013,14,12060,POS,Wholesale
INV00003,01/05/2025,C003,M024,5,34614,Transfer,Retail
INV00179,01/05/2025,C029,M009,8,17622,Cash,Wholesale
INV00180,01/05/2025,C030,M017,11,28867,Transfer,Retail
INV00181,01/05/2025,C001,M021,4,16659,POS,Retail
INV00182,02/05/2025,C002,M015,2,17684,Cash,Wholesale
INV00183,02/05/2025,C003,M015,10,17048,Cash,Retail
INV00184,02/05/2025,C004,M005,15,25612,POS,Wholesale
INV00004,02/05/2025,C004,M011,5,27617,Cash,Wholesale
INV00005,02/05/2025,C005,M001,2,10375,Transfer,Retail
INV00006,02/05/2025,C006,M010,1,21617,Cash,Wholesale
INV00007,03/05/2025,C007,M018,9,37241,Transfer,Retail
INV00008,03/05/2025,C008,M008,8,13547,POS,Wholesale
INV00185,03/05/2025,C005,M019,6,11522,Transfer,Wholesale
INV00186,03/05/2025,C006,M019,8,11389,Cash,Retail
INV00187,04/05/2025,C007,M022,3,22771,Transfer,Wholesale
INV00188,04/05/2025,C008,M010,10,21273,Transfer,Wholesale
INV00009,04/05/2025,C009,M010,8,21785,POS,Retail
INV00010,04/05/2025,C010,M001,13,10546,Transfer,Wholesale
INV00011,05/05/2025,C011,M020,5,14653,Transfer,Wholesale
INV00012,05/05/2025,C012,M012,11,35157,Cash,Retail
INV00013,05/05/2025,C013,M009,9,16570,POS,Retail
INV00189,05/05/2025,C009,M012,14,33309,Transfer,Retail
INV00190,05/05/2025,C010,M004,12,20644,Cash,Retail
INV00191,05/05/2025,C011,M021,5,16926,Cash,Wholesale
INV00192,06/05/2025,C012,M006,11,30801,Cash,Wholesale
INV00193,06/05/2025,C013,M011,15,28306,Cash,Wholesale
INV00194,06/05/2025,C014,M023,6,27287,Cash,Retail
INV00014,06/05/2025,C014,M001,7,10421,POS,Wholesale
INV00015,06/05/2025,C015,M013,8,12031,Transfer,Wholesale
